location_uuid,location_name,location_type,location_desc,region_id,region_desc,address_uuid,address_string
a8d3c5e7-5f6b-4e2a-9c3f-3b2d7e5a8c6f,"Stark Industries Headquarters","Facility","Los Angeles, CA",,,""
b6e4a7c8-2d5f-4f8e-9a2b-5f3e7d9c2a5b,"Stark Pictures Studio","Facility","Culver City, CA",,,""
f5d3e7b4-2f8c-4a7e-9b3f-7d6c8a9b3c4e,"Stark Industries Warehouse #TBD","Warehouse","New York City, NY",,,""
d4f7b3e2-5a8c-4b6f-8c9e-3f7d4e6a9b2c,"Stark Industries Aviation","Facility","Santa Monica, CA",,,""
e3f8a7d6-5c4e-4b2f-9e8b-6d2f4c7a9b5d,"Stark Industries Warehouse #TBD","Warehouse","Manitou, NY",,,""
b7e8f6c3-2d5a-4f7c-9b8e-4c7f2a3b9d5e,"Avengers Compound","Facility","Manitou, NY",,,""
d8f6a5c2-4b3e-4e7a-9c2f-6a8b3f4e7c5a,"Stark Expo","Facility","New York City, NY"
d9e6f4b3-7a5c-4f8d-9c7a-2f5e4b3a8c7d,"Stark Tower","Facility","New York City, NY",,,"200 Park Ave, NY, NY 10166"
c4d3f7e5-2b9d-4f8e-9a7c-3f5b6e4d2a8c,"Avengers Tower","Facility","New York City, NY",,,"200 Park Ave, NY, NY 10166"
b68e4ada-07c6-44fa-a61e-cdace66f9f76,"AccuTech","Facility","Sunnyvale, CA",,,""
8656c64f-6aae-41b8-85ad-5fd6c33a343a,"Stark Mansion","Private Residence","Malibu, CA",,,"39 Cliffside Drive, Malibu, CA 56677"
